date,z_fx,y10_spread,country,z_fx_hat,res_2nd
2019-10-22,-0.4415398372482211,5.1080000000000005,MXN,0.06298831836088759,-0.5045281556091087
2019-10-23,-0.4583869781008044,5.096,MXN,0.060675255707971054,-0.5190622338087755
2019-10-24,-0.5828350282671605,5.0489999999999995,MXN,0.05161576031738202,-0.6344507885845425
2019-10-25,-0.6231894138050312,5.0489999999999995,MXN,0.05161576031738202,-0.6748051741224133
2019-10-28,-0.6260421939196579,5.034,MXN,0.04872443200123655,-0.6747666259208944
2019-10-29,-0.5946144563932018,5.010999999999999,MXN,0.044291061916480134,-0.6389055183096819
2019-10-30,-0.6498919127760634,5.031,MXN,0.04814616633800739,-0.6980380791140708
2019-11-04,-0.7566810383357152,5.026,MXN,0.047182390232625715,-0.8038634285683409
2019-11-05,-0.7110541550192094,4.967,MXN,0.03580983218912015,-0.7468639872083296
2019-11-06,-0.7581401082397051,4.945,MXN,0.03156921732544027,-0.7897093255651454
2019-11-07,-0.744178392178776,4.914,MXN,0.025593805472073017,-0.769772197650849
2019-11-08,-0.8153467700816791,4.923,MXN,0.027328602461760276,-0.8426753725434394
2019-11-11,-0.875173828222212,4.928000000000001,MXN,0.028292378567142173,-0.9034662067893542
2019-11-12,-0.9614879563269675,5.016,MXN,0.04525483802186192,-1.0067427943488294
2019-11-13,-0.8691337730693117,5.1,MXN,0.06144627659227653,-0.9305800496615882
2019-11-14,-0.9422854363952804,5.146999999999999,MXN,0.07050577198286545,-1.0127912083781458
2019-11-15,-1.069271383730078,5.067,MXN,0.055085354296756206,-1.1243567380268342
2019-11-18,-1.087973562381104,5.115,MXN,0.06433760490842189,-1.1523111672895259
2019-11-19,-1.0321536060797418,5.179,MXN,0.07667393905730924,-1.108827545137051
2019-11-20,-1.0660005717670082,5.298,MXN,0.09961181036539624,-1.1656123821324045
2019-11-21,-0.9851076278916061,5.258,MXN,0.09190160152234206,-1.0770092294139482
2019-11-22,-1.0492784195591718,5.265,MXN,0.09325088806987614,-1.142529307629048
2019-11-25,-1.2007884381829688,5.308,MXN,0.10153936257616003,-1.3023278007591288
2019-11-26,-1.1909249175429488,5.378,MXN,0.11503222805150548,-1.3059571455944543
2019-11-27,-1.1667734438989859,5.324999999999999,MXN,0.10481620133445801,-1.2715896452334439
2019-11-28,-1.1142867982801368,5.324,MXN,0.1046234461133817,-1.2189102443935185
2019-11-29,-1.2469072762754316,5.304,MXN,0.10076834169185456,-1.3476756179672862
2019-12-02,-1.1371877091422349,5.311,MXN,0.10211762823938897,-1.2393053373816239
2019-12-03,-1.1581034499083853,5.427999999999999,MXN,0.12466998910532334,-1.2827734390137087
2019-12-04,-1.1509235349787104,5.314,MXN,0.10269589390261813,-1.2536194288813285
2019-12-05,-1.2048185608582136,5.252,MXN,0.0907450701958834,-1.295563631054097
2019-12-06,-1.1109589657733268,5.142,MXN,0.06954199587748366,-1.1805009616508104
2019-12-09,-1.232124653942582,5.077,MXN,0.05701290650752,-1.289137560450102
2019-12-10,-1.2310834584843369,5.067,MXN,0.055085354296756206,-1.286168812781093
