date,fitted_clp_oos,res_fx_oos,z_fx_oos,n_train_fx,clp,y10_clp_oos,fitted_y10_clp_oos,res_y10_oos,z_y10_oos,n_train_y10,stress_market_oos,stress_market_oos_30d,regime_oos
2017-05-11,668.3000497427704,0.006889202902140568,0.38401006494563134,1145,672.92,4.08,4.020134002890764,0.059865997109236346,0.45168887320979806,1145,0.4178494690777147,-0.4339779800581771,Condiciones neutrales
2017-05-18,668.2266339392205,5.884984292823248e-4,0.03286056153981089,1150,668.62,3.96230769230769,3.873213987489237,0.08909370481845302,0.6731227912307753,1150,0.3529916763852931,-0.34234996274893825,Condiciones neutrales
2017-05-25,651.4657546546679,0.034405792830084714,1.9193002100158707,1155,674.27,4.12772727272727,3.9261936540889018,0.2015336186383685,1.52414739105218,1155,1.7217238005340252,0.11121046279067197,Condiciones neutrales
2017-06-01,653.6242964189817,0.028246322191336937,1.5693711651051145,1160,672.35,3.93239436619719,3.9163327603807723,0.01606160581641758,0.12121005503164882,1160,0.8452906100683817,0.47730093691683295,Condiciones neutrales
2017-06-08,656.929204978709,0.017250692826451086,0.95726790642251,1165,668.36,3.98595238095238,3.8560507315470325,0.12990164940534754,0.9819248721851872,1165,0.9695963893038486,0.7028742227002335,Condiciones neutrales
2017-06-15,652.3542634800816,0.010833555046943388,0.6012542723618581,1170,659.46,3.98654205607477,3.9029353305426895,0.0836067255320807,0.6325444395353715,1170,0.6168993559486149,0.8207252168863131,Estrés moderado
2017-06-22,655.5379449664433,0.013638883391183576,0.7574519585123677,1175,664.54,4.00452830188679,3.8857479213341755,0.11878038055261442,0.8986439491812456,1175,0.8280479538468066,0.8890916310144951,Estrés moderado
2017-06-30,646.710066103164,0.025193608447142246,1.3989636254798148,1180,663.21,4.13181818181818,3.94865621598305,0.18316196583513022,1.3840703738493831,1180,1.3915169996645989,1.0621791848943793,Estrés moderado
2017-07-07,649.8659479601624,0.02485383861056434,1.3779580410714714,1185,666.22,4.16192771084338,3.9814722948410157,0.18045541600236437,1.3594989474634545,1185,1.368728494267463,1.0033466338499522,Estrés moderado
2017-07-14,645.7546697833033,0.022895350868569864,1.2669284354677253,1190,660.71,4.23183333333333,3.9339383803650385,0.29789495296829127,2.2415389774223495,1190,1.7542337064450373,1.1548371499127281,Estrés moderado
2017-07-21,644.0265254364355,0.011629573667383042,0.6437186298420433,1195,651.56,4.28390625,3.8767790529531077,0.4071271970468926,3.0192263269041115,1195,1.8314724783730774,1.2984831647575996,Estrés moderado
2017-07-28,641.260629856494,0.010439291012587226,0.5787051939020799,1200,647.99,4.27056910569105,3.8894591261323725,0.3811099795586772,2.784135647954943,1200,1.6814204209285115,1.4759033422542491,Estrés moderado
2017-08-04,638.0413232141169,0.018830815980607873,1.0437929033927509,1205,650.17,4.3075,3.9230098236748603,0.3844901763251398,2.773947796598418,1205,1.9088703499955844,1.6560404082790454,Estrés alto
2017-08-11,650.9115127199957,-0.005378473991662247,-0.2983889967223352,1210,647.42,4.33545023696683,3.8363483658025395,0.4991018711642905,3.5348632918389584,1210,1.6182371475583115,1.6938270995946643,Estrés alto
2017-08-21,635.9676398565932,0.016533786362227687,0.9189213744471466,1215,646.57,4.28989130434783,3.9411411481724947,0.34875015617533567,2.425966922518133,1215,1.6724441484826398,1.7444463752971937,Estrés alto
2017-08-28,627.1559252551897,0.01496202884220832,0.8322815745641826,1220,636.61,4.37893333333333,3.9826907640592033,0.3962425692741265,2.725196344359609,1220,1.7787389594618956,1.7485305841333367,Estrés alto
2017-09-04,632.8858131815322,-0.013819186116688087,-0.7699899574323205,1225,624.2,4.32285714285714,3.9752319587550673,0.347625184102073,2.3621211304334357,1225,0.7960655865005577,1.57596276882125,Estrés alto
2017-09-11,627.7346284841908,-0.015046698925871738,-0.8387423286057195,1230,618.36,4.29818181818182,4.001280727000669,0.2969010911811507,2.0014596670439935,1230,0.581358669219137,1.3926191435363544,Estrés moderado
2017-09-20,629.5124454975763,-0.006346333350320421,-0.3542590169925729,1235,625.53,4.33,4.074816449209685,0.2551835507903153,1.7101004711072256,1235,0.6779207270573264,1.1874608730466447,Estrés moderado
2017-09-27,633.5159043871369,-2.3033548210893429e-4,-0.012879036402961837,1240,633.37,4.32428571428571,4.084311323616639,0.23997439066907145,1.604574587739443,1240,0.7958477756682406,1.050395977731633,Estrés moderado
2017-10-04,635.6081648761926,2.8603962168638475e-4,0.016022694769126985,1245,635.79,4.44102564102564,4.076230087868289,0.364795553157351,2.4235171046926274,1245,1.2197698997308772,0.9749502696063391,Estrés moderado
2017-10-12,635.117547033721,-0.013230448020795649,-0.742130203638108,1250,626.77,4.5541935483871,4.076924200457306,0.47726934792979403,3.1322575650803826,1250,1.1950636807211372,0.8776710564828794,Estrés moderado
