date,country,y10_spread,z_fx,z_fx_hat,res_2nd
2020-11-09,PEN,3.0100000000000002,0.6527414649517063,-0.07175691622785885,0.7244983811795651
2020-11-10,PEN,3.0560000000000005,0.6836443470736492,-0.056267318801679456,0.7399116658753286
2020-11-11,PEN,3.099,0.6482792096817263,-0.04178791251199032,0.6900671221937166
2020-11-12,PEN,3.211,0.631848708161388,-0.004074110083032267,0.6359228182444203
2020-11-13,PEN,3.3160000000000003,0.7993808884427102,0.031282579694116075,0.7680983087485941
2020-11-16,PEN,3.336,0.9297218739873382,0.03801718727071568,0.8917046867166225
2020-11-17,PEN,3.231,0.43183545010849017,0.002660497493567393,0.4291749526149228
2020-11-18,PEN,3.22,-0.133064427989602,-0.0010435366735622453,-0.13202089131603975
2020-11-19,PEN,3.229,-0.22926763060474564,0.001987036735907527,-0.23125466734065317
2020-11-20,PEN,3.2059999999999995,-0.07533441277014347,-0.005757761977182238,-0.06957665079296123
2020-11-23,PEN,3.119,0.06628645506425762,-0.035053304935390564,0.10133975999964819
2020-11-24,PEN,3.091,-0.09031479413484304,-0.044481755542630105,-0.04583303859221294
2020-11-25,PEN,3.058,-0.049435557445481386,-0.05559385804401967,0.006158300598538287
2020-11-26,PEN,3.033,-0.09959900815078526,-0.06401211751476922,-0.03558689063601604
2020-11-27,PEN,3.065,-0.10666361510313853,-0.05323674539220977,-0.05342686971092876
2020-11-30,PEN,3.074,-0.06366622896706636,-0.05020617198273994,-0.013460056984326427
2020-12-01,PEN,2.993,0.13811082836804078,-0.07748133266796856,0.21559216103600934
2020-12-02,PEN,2.9639999999999995,0.16892935952578955,-0.08724651365403821,0.25617587317982776
2020-12-03,PEN,2.964,0.07670191670645199,-0.08724651365403804,0.16394843036049003
2020-12-04,PEN,2.887,0.09094393424598521,-0.11317475282394673,0.20411868706993194
2020-12-07,PEN,2.842,0.14303613990407799,-0.12832761987129598,0.27136375977537397
2020-12-09,PEN,2.793,0.11981388653093028,-0.14482740843396513,0.2646412949648954
2020-12-10,PEN,2.777,-0.008727340496534782,-0.15021509449524492,0.14148775399871014
2020-12-11,PEN,2.758,-0.17460092337146801,-0.15661297169301458,-0.01798795167845343
2020-12-14,PEN,2.729,-0.3169650318562126,-0.16637815267908412,-0.15058687917712849
2020-12-15,PEN,2.661,-0.2406398067405176,-0.189275818439523,-0.05136398830099459
2020-12-16,PEN,2.631,-0.11528754918927987,-0.19937772980442253,0.08409018061514267
2020-12-17,PEN,2.585,0.06572472524754729,-0.21486732723060176,0.28059205247814906
