anio,crecimiento_nominal,tasa_efectiva,balance_primario,sfa_identificado,valorizacion_otros,ajuste_conciliacion,sfa_total,deuda_oficial,naturaleza,escenario,deuda_rezagada,efecto_interes_crecimiento,efecto_balance_primario,efecto_sfa_identificado,efecto_valorizacion_otros,efecto_ajuste_conciliacion,efecto_sfa,deuda_pib,cambio_deuda,balance_primario_estabilizador,brecha_primaria,distancia_nivel_prudente
2028,0.0459652303136017,0.0319569544969263,-0.0034117582815742,0.0071524197144158,0.0053845026022037,0.0,0.0125369223166196,0.4454283081142219,Trayectoria oficial con gasto comprometido,Gasto comprometido (oficial),0.4353095887888026,-0.0058299612727747,0.0034117582815742,0.0071524197144158,0.0053845026022037,0.0,0.0125369223166196,0.4454283081142219,0.0101187193254193,0.0067069610438449,-0.0101187193254192,0.0045716918857781
2029,0.0478271712543234,0.0323840022179491,-0.0011072112365116,0.0063290488730396,0.0063391095959625,0.0,0.0126681584690022,0.4526388312071406,Trayectoria oficial con gasto comprometido,Gasto comprometido (oficial),0.4454283081142219,-0.0065648466125952,0.0011072112365116,0.0063290488730396,0.0063391095959625,0.0,0.0126681584690022,0.4526388312071406,0.0072105230929186,0.006103311856407,-0.0072105230929186,-0.0026388312071405
2030,0.0492406667035294,0.031568147921005,0.0020645252744134,0.0054096118408213,0.0064065347029131,0.0,0.0118161465437344,0.4547665883811632,Trayectoria oficial con gasto comprometido,Gasto comprometido (oficial),0.4526388312071406,-0.0076238640952984,-0.0020645252744134,0.0054096118408213,0.0064065347029131,0.0,0.0118161465437344,0.4547665883811632,0.0021277571740226,0.004192282448436,-0.0021277571740225,-0.0047665883811632
2027,0.0316007991920257,0.0306840149359242,0.0007856745519935655,0.0078141858627845,0.003161772030915,-0.0004062496008887528,0.0105697082928109,0.431920170231312,Calibración a trayectoria oficial compatible con la meta,Menor crecimiento,0.426607312003057,-0.00037912617699455793,-0.0007856745519935655,0.0078141858627845,0.003161772030915,-0.0004062496008887528,0.0105697082928109,0.4360122195668798,0.0094049075638228,0.0101905821158163,-0.0094049075638228,0.0139877804331201
2028,0.0359652303136017,0.0322077311498313,0.0010163526236228,0.0071524197144158,0.0053845026022037,-0.00102120093279,0.0115157213838296,0.436738526651375,Calibración a trayectoria oficial compatible con la meta,Menor crecimiento,0.4360122195668798,-0.0015814387418391,-0.0010163526236228,0.0071524197144158,0.0053845026022037,-0.00102120093279,0.0115157213838296,0.4449301495852474,0.0089179300183676,0.0099342826419904,-0.0089179300183676,0.0050698504147525
2029,0.0378271712543234,0.033028346339188,0.0020077599315416,0.0063290488730396,0.0063391095959625,-0.0014306657287935,0.0112374927402086,0.439800050458675,Calibración a trayectoria oficial compatible con la meta,Menor crecimiento,0.4449301495852474,-0.0020573193171884,-0.0020077599315416,0.0063290488730396,0.0063391095959625,-0.0014306657287935,0.0112374927402086,0.4521025630767259,0.0071724134914785,0.0091801734230201,-0.0071724134914785,-0.0021025630767259
2030,0.0392406667035294,0.0324896951772417,0.002219870331232,0.0054096118408213,0.0064065347029131,-0.0015361505042695,0.0102799960394649,0.440838833631988,Calibración a trayectoria oficial compatible con la meta,Menor crecimiento,0.4521025630767259,-0.0029368861593667,-0.002219870331232,0.0054096118408213,0.0064065347029131,-0.0015361505042695,0.0102799960394649,0.4572258026255921,0.0051232395488661,0.0073431098800981,-0.0051232395488661,-0.007225802625592
2031,0.0409999999999999,0.032,0.001,0.005,0.0045,0.0,0.0095,,Supuesto editable,Menor crecimiento,0.4572258026255921,-0.003952960829616,-0.001,0.005,0.0045,0.0,0.0095,0.461772841795976,0.0045470391703839,0.0055470391703839,-0.0045470391703839,-0.011772841795976
2032,0.0409999999999999,0.033,0.0015,0.0045,0.004,0.0,0.0085,,Supuesto editable,Menor crecimiento,0.461772841795976,-0.0035486865844071,-0.0015,0.0045,0.004,0.0,0.0085,0.4652241552115689,0.0034513134155929,0.0049513134155928,-0.0034513134155928,-0.0152241552115689
2033,0.0409999999999999,0.034,0.002,0.004,0.0035,0.0,0.0075,,Supuesto editable,Menor crecimiento,0.4652241552115689,-0.0031283084404235,-0.002,0.004,0.0035,0.0,0.0075,0.4675958467711453,0.0023716915595763,0.0043716915595764,-0.0023716915595764,-0.0175958467711453
